Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3886942361091609
75% Corpus,2,0.01,0.31,0.3746841868833771
75% Corpus,2,0.01,0.61,0.3241392979519122
75% Corpus,2,0.01,0.9099999999999999,0.37201025798304727
75% Corpus,2,0.01,symmetric,0.3746841868833771
75% Corpus,2,0.31,0.01,0.36745325686867014
75% Corpus,2,0.31,0.31,0.3371197799779737
75% Corpus,2,0.31,0.61,0.32413929795191226
75% Corpus,2,0.31,0.9099999999999999,0.32413929795191226
75% Corpus,2,0.31,symmetric,0.32413929795191226
75% Corpus,2,0.61,0.01,0.37185108647707843
75% Corpus,2,0.61,0.31,0.36634852107206956
75% Corpus,2,0.61,0.61,0.32115072298046715
75% Corpus,2,0.61,0.9099999999999999,0.32115072298046715
75% Corpus,2,0.61,symmetric,0.3714777137393306
75% Corpus,2,0.9099999999999999,0.01,0.37185108647707843
75% Corpus,2,0.9099999999999999,0.31,0.35517519632045597
75% Corpus,2,0.9099999999999999,0.61,0.3122303755263701
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.31513311130676797
75% Corpus,2,0.9099999999999999,symmetric,0.3551751963204559
75% Corpus,2,symmetric,0.01,0.36179165086901455
75% Corpus,2,symmetric,0.31,0.3539035519750624
75% Corpus,2,symmetric,0.61,0.32115072298046715
75% Corpus,2,symmetric,0.9099999999999999,0.32115072298046715
75% Corpus,2,symmetric,symmetric,0.3211507229804671
75% Corpus,2,asymmetric,0.01,0.383999852676052
75% Corpus,2,asymmetric,0.31,0.38288200149978147
75% Corpus,2,asymmetric,0.61,0.38288200149978147
75% Corpus,2,asymmetric,0.9099999999999999,0.3695118339451265
75% Corpus,2,asymmetric,symmetric,0.38288200149978147
75% Corpus,3,0.01,0.01,0.366946236086971
75% Corpus,3,0.01,0.31,0.3498779566793318
75% Corpus,3,0.01,0.61,0.34812334666287414
75% Corpus,3,0.01,0.9099999999999999,0.33525130168631234
75% Corpus,3,0.01,symmetric,0.3498779566793318
75% Corpus,3,0.31,0.01,0.3557280653979591
75% Corpus,3,0.31,0.31,0.35018833158121315
75% Corpus,3,0.31,0.61,0.3501883315812131
75% Corpus,3,0.31,0.9099999999999999,0.34737452376628514
75% Corpus,3,0.31,symmetric,0.3501883315812131
75% Corpus,3,0.61,0.01,0.3615270640534391
75% Corpus,3,0.61,0.31,0.3491284808084731
75% Corpus,3,0.61,0.61,0.3357083460770838
75% Corpus,3,0.61,0.9099999999999999,0.33578669447511117
75% Corpus,3,0.61,symmetric,0.3374935512381729
75% Corpus,3,0.9099999999999999,0.01,0.3598982842233083
75% Corpus,3,0.9099999999999999,0.31,0.34635800948743434
75% Corpus,3,0.9099999999999999,0.61,0.33879255116044876
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3351762526621349
75% Corpus,3,0.9099999999999999,symmetric,0.34635800948743434
75% Corpus,3,symmetric,0.01,0.3557280653979591
75% Corpus,3,symmetric,0.31,0.35018833158121315
75% Corpus,3,symmetric,0.61,0.3501883315812131
75% Corpus,3,symmetric,0.9099999999999999,0.3449560240430678
75% Corpus,3,symmetric,symmetric,0.3501883315812131
75% Corpus,3,asymmetric,0.01,0.3230667634739502
75% Corpus,3,asymmetric,0.31,0.33744166915886104
75% Corpus,3,asymmetric,0.61,0.3253343517104457
75% Corpus,3,asymmetric,0.9099999999999999,0.3398081284896582
75% Corpus,3,asymmetric,symmetric,0.33744166915886104
75% Corpus,4,0.01,0.01,0.35472902458854816
75% Corpus,4,0.01,0.31,0.35233171073512703
75% Corpus,4,0.01,0.61,0.3633101261192704
75% Corpus,4,0.01,0.9099999999999999,0.36844890637815186
75% Corpus,4,0.01,symmetric,0.3653313665129737
75% Corpus,4,0.31,0.01,0.36178548920302706
75% Corpus,4,0.31,0.31,0.3630363657795961
75% Corpus,4,0.31,0.61,0.3409351152709562
75% Corpus,4,0.31,0.9099999999999999,0.3553233424081633
75% Corpus,4,0.31,symmetric,0.3630363657795961
75% Corpus,4,0.61,0.01,0.3441068732755539
75% Corpus,4,0.61,0.31,0.35119412997234356
75% Corpus,4,0.61,0.61,0.33098309564325834
75% Corpus,4,0.61,0.9099999999999999,0.3507196238588732
75% Corpus,4,0.61,symmetric,0.35119412997234356
75% Corpus,4,0.9099999999999999,0.01,0.34842524322279433
75% Corpus,4,0.9099999999999999,0.31,0.3500659920150603
75% Corpus,4,0.9099999999999999,0.61,0.33518255245609485
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.33814745423917403
75% Corpus,4,0.9099999999999999,symmetric,0.34045146799832565
75% Corpus,4,symmetric,0.01,0.3645543759525763
75% Corpus,4,symmetric,0.31,0.3524091742422539
75% Corpus,4,symmetric,0.61,0.3426008451115562
75% Corpus,4,symmetric,0.9099999999999999,0.34890943634587857
75% Corpus,4,symmetric,symmetric,0.35309544103742707
75% Corpus,4,asymmetric,0.01,0.3609246196933827
75% Corpus,4,asymmetric,0.31,0.3139163682222995
75% Corpus,4,asymmetric,0.61,0.3224166798422856
75% Corpus,4,asymmetric,0.9099999999999999,0.3476185895827517
75% Corpus,4,asymmetric,symmetric,0.33177741042264564
75% Corpus,5,0.01,0.01,0.36698767320968384
75% Corpus,5,0.01,0.31,0.3978006447538399
75% Corpus,5,0.01,0.61,0.36093946713380226
75% Corpus,5,0.01,0.9099999999999999,0.3723327418328243
75% Corpus,5,0.01,symmetric,0.3847812520706434
75% Corpus,5,0.31,0.01,0.3683027783783694
75% Corpus,5,0.31,0.31,0.37817566823476145
75% Corpus,5,0.31,0.61,0.37228428334510055
75% Corpus,5,0.31,0.9099999999999999,0.360971492661986
75% Corpus,5,0.31,symmetric,0.388462782906929
75% Corpus,5,0.61,0.01,0.3864825123472049
75% Corpus,5,0.61,0.31,0.3913907536509775
75% Corpus,5,0.61,0.61,0.39375966933018275
75% Corpus,5,0.61,0.9099999999999999,0.43788450827348474
75% Corpus,5,0.61,symmetric,0.376714707958755
75% Corpus,5,0.9099999999999999,0.01,0.389912760744175
75% Corpus,5,0.9099999999999999,0.31,0.3834398080832543
75% Corpus,5,0.9099999999999999,0.61,0.36736978815344346
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3590413845744596
75% Corpus,5,0.9099999999999999,symmetric,0.37245582052757775
75% Corpus,5,symmetric,0.01,0.37863778536762716
75% Corpus,5,symmetric,0.31,0.38563764663326766
75% Corpus,5,symmetric,0.61,0.3815888662735959
75% Corpus,5,symmetric,0.9099999999999999,0.37002286591288
75% Corpus,5,symmetric,symmetric,0.3998219146302959
75% Corpus,5,asymmetric,0.01,0.3433506574528352
75% Corpus,5,asymmetric,0.31,0.35791427714520146
75% Corpus,5,asymmetric,0.61,0.3645102306494522
75% Corpus,5,asymmetric,0.9099999999999999,0.402018717251132
75% Corpus,5,asymmetric,symmetric,0.3583511845398496
75% Corpus,6,0.01,0.01,0.3390677884577731
75% Corpus,6,0.01,0.31,0.3584869188980111
75% Corpus,6,0.01,0.61,0.3582277360694029
75% Corpus,6,0.01,0.9099999999999999,0.35338896983116147
75% Corpus,6,0.01,symmetric,0.34744275209707437
75% Corpus,6,0.31,0.01,0.34693068772551855
75% Corpus,6,0.31,0.31,0.3613834070928729
75% Corpus,6,0.31,0.61,0.3521304121459581
75% Corpus,6,0.31,0.9099999999999999,0.370980871321606
75% Corpus,6,0.31,symmetric,0.36381277142980967
75% Corpus,6,0.61,0.01,0.3428080279020631
75% Corpus,6,0.61,0.31,0.35669345204604536
75% Corpus,6,0.61,0.61,0.3726000575939439
75% Corpus,6,0.61,0.9099999999999999,0.375723584033039
75% Corpus,6,0.61,symmetric,0.3478726031457275
75% Corpus,6,0.9099999999999999,0.01,0.36213922519053005
75% Corpus,6,0.9099999999999999,0.31,0.3601310116397118
75% Corpus,6,0.9099999999999999,0.61,0.3698309675971634
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.34438097255661915
